year,unharmed_ratio
2014,0.0
2014,1.1725945993183606
2014,2.3451891986367213
2014,3.5177837979550817
2014,4.6903783972734425
2015,0.0
2015,3.4744186046511625
2015,6.948837209302325
2015,10.423255813953487
2015,13.89767441860465
2016,0.0
2016,3.749434900542495
2016,7.49886980108499
2016,11.248304701627486
2016,14.99773960216998
2017,0.0
2017,5.256327724945136
2017,10.512655449890271
2017,15.768983174835407
2017,21.025310899780543
2018,0.0
2018,5.201861130994989
2018,10.403722261989978
2018,15.605583392984968
2018,20.807444523979957
